TRANSACTION_ID,ACCOUNT_ID,AMOUNT,COUNTRY_CODE,TIMESTAMP
TX1001,ACC_991,7500000,KY,2026-09-15 14:22:00
TX1002,ACC_112,120000,IN,2026-09-15 15:30:00
TX1003,ACC_991,6200000,CH,2026-09-16 09:11:00
TX1004,ACC_445,4500000,IN,2026-09-16 11:45:00
TX1005,ACC_112,7556,KY,2026-09-16 13:07:00
TX1006,ACC_445,1769583,AE,2026-09-16 13:25:00
TX1007,ACC_991,1621945,IN,2026-09-16 15:58:00
TX1008,ACC_101,9192600,KY,2026-09-16 18:02:00
TX1009,ACC_808,4717265,UK,2026-09-16 20:00:00
TX1010,ACC_303,4711907,SG,2026-09-16 20:36:00
TX1011,ACC_112,100595,SG,2026-09-16 22:14:00
TX1012,ACC_808,4487923,HK,2026-09-17 00:41:00
TX1013,ACC_112,100230,CH,2026-09-17 03:31:00
TX1014,ACC_808,6117228,KY,2026-09-17 03:58:00
TX1015,ACC_991,3873498,KY,2026-09-17 04:33:00
TX1016,ACC_505,73869,SG,2026-09-17 05:24:00
TX1017,ACC_303,6010453,CH,2026-09-17 08:19:00
TX1018,ACC_112,160680,UK,2026-09-17 10:45:00
TX1019,ACC_101,2791438,CH,2026-09-17 13:38:00
TX1020,ACC_707,58570,IN,2026-09-17 14:46:00
TX1021,ACC_991,5342423,CH,2026-09-17 15:12:00
TX1022,ACC_101,9565702,SG,2026-09-17 16:16:00
TX1023,ACC_606,6687601,HK,2026-09-17 17:02:00
TX1024,ACC_202,37603,CH,2026-09-17 19:41:00
TX1025,ACC_505,153969,SG,2026-09-17 20:47:00
TX1026,ACC_445,8598432,US,2026-09-17 21:09:00
TX1027,ACC_112,41066,UK,2026-09-17 23:07:00
TX1028,ACC_808,1115818,HK,2026-09-18 01:32:00
TX1029,ACC_202,146024,US,2026-09-18 03:59:00
TX1030,ACC_202,169024,US,2026-09-18 05:24:00
TX1031,ACC_505,42460,IN,2026-09-18 06:41:00
TX1032,ACC_707,47832,US,2026-09-18 09:31:00
TX1033,ACC_202,168496,KY,2026-09-18 10:20:00
TX1034,ACC_303,2760343,SG,2026-09-18 12:35:00
TX1035,ACC_991,1926828,KY,2026-09-18 12:59:00
TX1036,ACC_101,9568669,US,2026-09-18 15:13:00
TX1037,ACC_112,140645,UK,2026-09-18 18:11:00
TX1038,ACC_606,9274173,CH,2026-09-18 20:36:00
TX1039,ACC_808,7149076,KY,2026-09-18 22:05:00
TX1040,ACC_505,177078,HK,2026-09-19 00:27:00
TX1041,ACC_606,2080113,US,2026-09-19 02:03:00
TX1042,ACC_991,9920182,KY,2026-09-19 04:43:00
TX1043,ACC_101,170642,IN,2026-09-19 05:51:00
TX1044,ACC_112,9234,US,2026-09-19 08:12:00
TX1045,ACC_101,4722073,UK,2026-09-19 10:48:00
TX1046,ACC_808,7980103,HK,2026-09-19 12:42:00
TX1047,ACC_101,1632524,AE,2026-09-19 14:22:00
TX1048,ACC_505,108767,IN,2026-09-19 17:19:00
TX1049,ACC_112,16889,SG,2026-09-19 17:56:00
TX1050,ACC_101,3264348,HK,2026-09-19 18:41:00
TX1051,ACC_505,49100,HK,2026-09-19 19:54:00
TX1052,ACC_112,117164,US,2026-09-19 20:16:00
TX1053,ACC_707,4868,KY,2026-09-19 21:08:00
TX1054,ACC_505,128307,KY,2026-09-19 23:00:00
TX1055,ACC_991,2812152,AE,2026-09-20 00:17:00
TX1056,ACC_606,4835687,HK,2026-09-20 01:06:00
TX1057,ACC_101,5027931,IN,2026-09-20 03:44:00
TX1058,ACC_707,16979,IN,2026-09-20 04:06:00
TX1059,ACC_808,8049183,UK,2026-09-20 04:30:00
TX1060,ACC_707,22000,US,2026-09-20 07:12:00
TX1061,ACC_112,178002,AE,2026-09-20 07:52:00
TX1062,ACC_808,4180808,US,2026-09-20 09:49:00
TX1063,ACC_808,9532934,SG,2026-09-20 11:05:00
TX1064,ACC_101,5321130,CH,2026-09-20 12:56:00
TX1065,ACC_445,5083115,SG,2026-09-20 13:24:00
TX1066,ACC_991,7738755,US,2026-09-20 13:52:00
TX1067,ACC_707,56877,CH,2026-09-20 14:35:00
TX1068,ACC_303,1204126,CH,2026-09-20 15:25:00
TX1069,ACC_606,9163685,CH,2026-09-20 18:11:00
TX1070,ACC_707,3050,CH,2026-09-20 21:10:00
TX1071,ACC_112,36203,US,2026-09-20 21:47:00
TX1072,ACC_707,41749,CH,2026-09-21 00:31:00
TX1073,ACC_101,5802576,CH,2026-09-21 02:50:00
TX1074,ACC_606,4263115,AE,2026-09-21 04:10:00
TX1075,ACC_991,109486,CH,2026-09-21 05:01:00
TX1076,ACC_606,9305661,AE,2026-09-21 07:34:00
TX1077,ACC_991,1926932,UK,2026-09-21 10:03:00
TX1078,ACC_991,6244416,UK,2026-09-21 12:03:00
